,gm#,date,unnamed: 2,tm,unnamed: 4,opp,w/l,r,ra,inn,w-l,rank,gb,time,d/n,attendance,cli,streak,orig. scheduled
23,23,"Sunday, Apr 21",boxscore,ARI,@,SFG,W,5,3,,11-12,3,1.5,2:40,D,35922,.96,+,
24,24,"Monday, Apr 22",boxscore,ARI,@,STL,L-wo,3,5,,11-13,3,2.0,2:30,N,33036,.95,-,
25,25,"Tuesday, Apr 23",boxscore,ARI,@,STL,W,14,1,,12-13,3,2.0,2:37,N,32875,.88,+,
26,26,"Wednesday, Apr 24",boxscore,ARI,@,STL,L,1,5,,12-14,3,3.0,2:21,D,36390,.93,-,
27,27,"Friday, Apr 26",boxscore,ARI,@,SEA,L,1,6,,12-15,4,4.5,2:09,N,33997,.82,--,
28,28,"Saturday, Apr 27",boxscore,ARI,@,SEA,L,1,3,,12-16,4,5.5,2:16,N,38956,.77,---,
29,29,"Sunday, Apr 28",boxscore,ARI,@,SEA,W,3,2,,13-16,3,4.5,2:26,D,33474,.71,+,
30,30,"Monday, Apr 29",boxscore,ARI,,LAD,L,4,8,,13-17,3,5.5,2:50,N,36985,.91,-,
31,31,"Tuesday, Apr 30",boxscore,ARI,,LAD,W-wo,4,3,10,14-17,3,4.5,2:47,N,28667,.85,+,
32,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
33,32,"Wednesday, May 1",boxscore,ARI,,LAD,L,0,8,,14-18,4,5.5,2:49,N,34088,.94,-,
34,33,"Friday, May 3",boxscore,ARI,,SDP,L,1,7,,14-19,4,6.5,2:36,N,31976,.80,--,
35,34,"Saturday, May 4",boxscore,ARI,,SDP,L,1,13,,14-20,4,7.5,2:50,N,39661,.76,---,
36,35,"Sunday, May 5",boxscore,ARI,,SDP,W,11,4,,15-20,3,7.5,2:39,D,30968,.67,+,
37,36,"Tuesday, May 7",boxscore,ARI,@,CIN,W,6,2,,16-20,3,8.0,2:27,N,14485,.67,++,
38,37,"Wednesday, May 8",boxscore,ARI,@,CIN,W,4,3,,17-20,3,8.0,2:42,N,15660,.74,+++,
39,38,"Thursday, May 9",boxscore,ARI,@,CIN,W,5,4,,18-20,3,7.5,2:51,D,18214,.79,++++,
40,39,"Friday, May 10",boxscore,ARI,@,BAL,L,2,4,,18-21,3,7.5,2:34,N,27703,.80,-,
41,40,"Saturday, May 11",boxscore,ARI,@,BAL,L-wo,4,5,11,18-22,3,8.5,3:11,D,27882,.74,--,
42,41,"Sunday, May 12",boxscore,ARI,@,BAL,W,9,2,,19-22,3,7.5,2:43,D,31448,.68,+,
43,42,"Monday, May 13",boxscore,ARI,,CIN,W-wo,6,5,,20-22,3,7.5,3:18,N,18017,.77,++,
44,43,"Tuesday, May 14",boxscore,ARI,,CIN,L,2,6,,20-23,3,8.5,2:30,N,20068,.82,-,
45,44,"Wednesday, May 15",boxscore,ARI,,CIN,W,2,1,,21-23,2,7.5,1:59,D,16826,.75,+,
46,45,"Friday, May 17",boxscore,ARI,,DET,L,0,13,,21-24,3,8.0,2:17,N,25122,.81,-,
47,46,"Saturday, May 18",boxscore,ARI,,DET,L,3,8,,21-25,4,9.0,2:51,N,35826,.76,--,
48,47,"Sunday, May 19",boxscore,ARI,,DET,W,6,4,,22-25,4,9.0,2:37,D,26911,.68,+,
49,48,"Monday, May 20",boxscore,ARI,@,LAD,L,4,6,,22-26,4,10.0,2:39,N,37634,.84,-,
50,49,"Tuesday, May 21",boxscore,ARI,@,LAD,W,7,3,,23-26,3,9.0,2:30,N,46180,.77,+,
51,50,"Wednesday, May 22",boxscore,ARI,@,LAD,W,6,0,,24-26,3,8.0,2:40,N,46593,.83,++,
52,51,"Friday, May 24",boxscore,ARI,,MIA,L,0,3,,24-27,4,8.0,1:58,N,22642,.78,-,
53,52,"Saturday, May 25",boxscore,ARI,,MIA,W,3,2,,25-27,4,7.0,2:21,N,31966,.74,+,
54,53,"Sunday, May 26",boxscore,ARI,,MIA,L,1,3,,25-28,4,7.0,2:37,D,25723,.80,-,
55,54,"Tuesday, May 28",boxscore,ARI,@,TEX,L,2,4,,25-29,4,8.5,2:11,N,37977,.76,--,
56,55,"Wednesday, May 29",boxscore,ARI,@,TEX,L,1,6,,25-30,4,9.5,2:42,D,34023,.70,---,
57,56,"Thursday, May 30",boxscore,ARI,@,NYM,L,2,3,,25-31,4,10.0,2:43,N,20926,.68,----,
58,57,"Friday, May 31",boxscore,ARI,@,NYM,L,9,10,,25-32,4,10.0,2:51,N,33884,.59,-----,
59,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
60,58,"Saturday, Jun 1",boxscore,ARI,@,NYM,W,10,5,,26-32,4,10.0,2:53,D,30600,.57,+,
61,59,"Sunday, Jun 2",boxscore,ARI,@,NYM,W,5,4,,27-32,4,10.0,2:40,D,31059,.61,++,
62,60,"Monday, Jun 3",boxscore,ARI,,SFG,W-wo,4,2,,28-32,4,9.5,2:12,N,21551,.70,+++,
63,61,"Tuesday, Jun 4",boxscore,ARI,,SFG,W,8,5,,29-32,3,8.5,2:59,N,23548,.76,++++,
